prompt,text,output
Extract all the Location entity in the text,what is the price for a 9 ounce steak at the nearest steak house,nearest
Extract all the Hours entity in the text,what is the price range,NONE
Extract all the Location entity in the text,what is the price range for romana on poisedon,poisedon
Extract all the Restaurant Name entity in the text,what is the price range of flos,flos
Extract all the Restaurant Name entity in the text,what is the price range of pedros piscina mexican restaurant,pedros piscina mexican restaurant
Extract all the Restaurant Name entity in the text,what is the price range of starting gate restaurant,starting gate restaurant
Extract all the Location entity in the text,what is the price range of the nearest vegetarian restaurant,nearest
Extract all the Dish entity in the text,what is the price range of the steak house,NONE
Extract all the Restaurant Name entity in the text,what is the proper attire for a saturday brunch at la fleur,la fleur
Extract all the Location entity in the text,what is the rating for the nearest waffle house,nearest
Extract all the Cuisine entity in the text,what is the rating for the new french restaurant outside,french
Extract all the Location entity in the text,what is the rating for the outback that is near here,near here
Extract all the Restaurant Name entity in the text,what is the rating of pierres bistro,pierres bistro
Extract all the Restaurant Name entity in the text,what is the rating on chilis,chilis
Extract all the Restaurant Name entity in the text,what is the rating on macdonalds,macdonalds
Extract all the Restaurant Name entity in the text,what is the rating on mcdonalds,mcdonalds
Extract all the Restaurant Name entity in the text,what is the rating on olive garden,olive garden
Extract all the Restaurant Name entity in the text,what is the rating on subway,subway
Extract all the Restaurant Name entity in the text,what is the rating on taco bell,taco bell
Extract all the Restaurant Name entity in the text,what is the rating on taco bueno,taco bueno
Extract all the Restaurant Name entity in the text,what is the rating on wendys,wendys
Extract all the Location entity in the text,what is the reputation of tony romas on main street,main street
Extract all the Location entity in the text,what is the restaurant week deal for dragon star on bodwell street,bodwell street
Extract all the Location entity in the text,what is the service like at the nearest bbqs,nearest
Extract all the Restaurant Name entity in the text,what is the size of a portion at lecooks,lecooks
Extract all the Restaurant Name entity in the text,what is the smoking policy at tonys italian place,tonys italian place
Extract all the Restaurant Name entity in the text,what is the specialty at the herbfarm restaurant,herbfarm restaurant
Extract all the Location entity in the text,what is the top rated italian restaurant within 20 miles,within 20 miles
Extract all the Location entity in the text,what is the top rated restaurant in helena montana,helena montana
Extract all the Location entity in the text,what is the typical portion size from longhorn steakhouse,typical portion size
Extract all the Location entity in the text,what is there to eat around here,around here
Extract all the Location entity in the text,what is there to eat at the next exit,next exit
Extract all the Amenity entity in the text,what is todays special at olive garden,todays special
Extract all the Location entity in the text,what italian restaurant in my area is kid friendly,in my area
Extract all the Cuisine entity in the text,what italian restaurants are there that take checks that are open,italian
Extract all the Location entity in the text,what italian restaurants are within five miles of my current location,"within five miles , current location"
Extract all the Location entity in the text,what kid friendly restaurants are in the area,in the area
Extract all the Location entity in the text,what kind cuisine does this restaurant on 4th street serve,4th street
Extract all the Location entity in the text,what kind of atmosphere is the restaurant at the ballpark,ballpark
Extract all the Cuisine entity in the text,what kind of cuisine is served at the bistro,bistro
Extract all the Restaurant Name entity in the text,what kind of feeling is there at sillys food shack,sillys food shack
Extract all the Restaurant Name entity in the text,what kind of fish does long john silvers sell,long john silvers
Extract all the Location entity in the text,what kind of food can i eat after 2 am within 1 mile of here,within 1 mile of here
Extract all the Restaurant Name entity in the text,what kind of food do they serve at mings,mings
Extract all the Location entity in the text,what kind of food do they serve at the restaurant located across the street from the hospital,across the street from the hospital
Extract all the Restaurant Name entity in the text,what kind of food does bella restaurant have,bella restaurant
Extract all the Restaurant Name entity in the text,what kind of food does buffalo wild wings serve,buffalo wild wings
Extract all the Restaurant Name entity in the text,what kind of food does golden wheel restaurant serve,golden wheel
Extract all the Restaurant Name entity in the text,what kind of food does hooligans serve,hooligans
Extract all the Restaurant Name entity in the text,what kind of food does joes diner serve,joes diner
Extract all the Restaurant Name entity in the text,what kind of food does quang serve,quang
Extract all the Restaurant Name entity in the text,what kind of food does sonic sell,sonic
Extract all the Dish entity in the text,what kind of food does that restaurant serve,NONE
Extract all the Restaurant Name entity in the text,what kind of food does wagners serve,wagners
Extract all the Location entity in the text,what kind of food is cheap and close by,close by
Extract all the Restaurant Name entity in the text,what kind of food is offered at santa fe,santa fe
Extract all the Restaurant Name entity in the text,what kind of lunch specials does inman square feature,inman square
Extract all the Location entity in the text,what kind of payment is accepted at that restaurant on 7 th and main,7 th and main
Extract all the Location entity in the text,what kind of place is yimkes restaurant on main st,main st
Extract all the Cuisine entity in the text,what kind of prices can i expect for restaurants that only serve raw food cuisine,raw
Extract all the Restaurant Name entity in the text,what kind of restaurant is the happy gnome,happy gnome
Extract all the Restaurant Name entity in the text,what kinds of food does golden abacus serve,golden abacus
Extract all the Restaurant Name entity in the text,what kinds of foods does cinnabon offer,cinnabon
Extract all the Location entity in the text,what kinds of restaurants are nearby that have a smoking patio,nearby
Extract all the Location entity in the text,what kosher places are popular among the locals around here,around here
Extract all the Location entity in the text,what latin america restaurant within 10 miles of here have great portions,within 10 miles
Extract all the Location entity in the text,what latin american restaurants have the biggest portions within 10 miles of here,within 10 miles
Extract all the Location entity in the text,what locations are pizza restaurants in this area,in this area
Extract all the Location entity in the text,what mcdonalds are there near hitown city that are still open,near hitown city
Extract all the Location entity in the text,what mcdonalds has a playground in this town,in this town
Extract all the Cuisine entity in the text,what mexican restaurant has the best reviews and has an outside patio,mexican
Extract all the Location entity in the text,what mexican restaurants are within 5 miles of here,within 5 miles
Extract all the Location entity in the text,what nearby restaurants accept diners club,nearby
Extract all the Location entity in the text,what nearby restaurants have a kids menu,nearby
Extract all the Location entity in the text,what nearby restaurants have a value menu,nearby
Extract all the Location entity in the text,what nearby restaurants on the beach have walk up order service,"nearby , beach"
Extract all the Amenity entity in the text,what night do kids eat free at pizza hut,kids eat free
Extract all the Location entity in the text,what night is trivia night at buffalo wild wings in akron ohio,akron ohio
Extract all the Hours entity in the text,what options are available for food,NONE
Extract all the Dish entity in the text,what other good sushi places are there beside sushi stop,sushi
Extract all the Location entity in the text,what papa johns are there near here,near here
Extract all the Location entity in the text,what pennsylvania dutch style buffets are located in maryalnd,"style buffets , maryalnd"
Extract all the Cuisine entity in the text,what pizza restaurant has a buffet,pizza
Extract all the Location entity in the text,what pizza restaurants allow you to top your pizza with peanut butter within 5 miles of here,5 miles of here
Extract all the Location entity in the text,what pizza restaurants near here are open at 11 pm,near here
Extract all the Cuisine entity in the text,what place did we go to for seafood last week,seafood
Extract all the Dish entity in the text,what place has haggis,haggis
Extract all the Location entity in the text,what place has the best fried chicken in town,in town
Extract all the Location entity in the text,what place has the best reviews for dining in this area,in this area
Extract all the Dish entity in the text,what place has the best reviews for milkshakes,milkshakes
Extract all the Dish entity in the text,what place has wontons,wontons
Extract all the Dish entity in the text,what place in town has the best variety of fruits and vegetables,"fruits , vegetables"
Extract all the Amenity entity in the text,what place is like siu kuen chinese but is fancier,fancier
Extract all the Dish entity in the text,what place makes calzone,calzone
Extract all the Dish entity in the text,what place offers chicken tetrazinni,chicken tetrazinni
Extract all the Dish entity in the text,what place sells a bacon cheese burger,bacon cheese burger
Extract all the Dish entity in the text,what place serves borsch,borsch
Extract all the Dish entity in the text,what place serves calamari,calamari
Extract all the Dish entity in the text,what place serves eggflower soup,eggflower soup
Extract all the Cuisine entity in the text,what place serves expensive bengali food,bengali
Extract all the Location entity in the text,what places are known for pies in baltimore,baltimore
Extract all the Hours entity in the text,what places are open 24 7,open 24 7
Extract all the Cuisine entity in the text,what places have gluten free options,gluten free
Extract all the Price entity in the text,what places have super high prices,super high
Extract all the Location entity in the text,what places on lawrence have their own parking,lawrence
Extract all the Amenity entity in the text,what places serve nachos after 12 pm for a business meeting,business meeting
Extract all the Location entity in the text,what places to eat are in this area,in this area
Extract all the Amenity entity in the text,what places with fantastic service are open before 11 am,service
Extract all the Restaurant Name entity in the text,what portion sizes are there at tims diner,tims diner
Extract all the Cuisine entity in the text,what portugese restaurant has a prix fixe menu,portugese
Extract all the Restaurant Name entity in the text,what price range are the appetizers at montagus,montagus
Extract all the Location entity in the text,what pricey restaurants are there around here,around here
Extract all the Cuisine entity in the text,what pub has internet service for free,pub
Extract all the Location entity in the text,what pubs in my area allow children,in my area
Extract all the Restaurant Name entity in the text,what ratings does hals restaurant get,hals restaurant
Extract all the Cuisine entity in the text,what restauranis kosher and has good portions,kosher
Extract all the Location entity in the text,what restaurant along the way has great revies and good prices,along the way
Extract all the Dish entity in the text,what restaurant around here has the best shakes,shakes
Extract all the Location entity in the text,what restaurant downtown delivers and has huge portions,downtown
Extract all the Cuisine entity in the text,what restaurant has a brazilian brinch,brazilian brinch
Extract all the Dish entity in the text,what restaurant has crab at 1 pm and id not expensive,crab
Extract all the Cuisine entity in the text,what restaurant has eastern european for lunch,eastern european
Extract all the Rating entity in the text,what restaurant has good service an is open in the morning,good service
Extract all the Cuisine entity in the text,what restaurant has malaysian food and a great wine list,malaysian
Extract all the Cuisine entity in the text,what restaurant has music and french food,french
Extract all the Dish entity in the text,what restaurant has ox tail soup,ox tail soup
Extract all the Dish entity in the text,what restaurant has the best pizza,pizza
Extract all the Amenity entity in the text,what restaurant has the best portion in town,portion
Extract all the Rating entity in the text,what restaurant has the best reviews,best reviews
Extract all the Cuisine entity in the text,what restaurant has the best selection of alcohol,alcohol
Extract all the Location entity in the text,what restaurant has the highest quality food within 2 miles,within 2 miles
Extract all the Cuisine entity in the text,what restaurant has very goodprices halal cuisine that is open before 9 am,halal
Extract all the Hours entity in the text,what restaurant have great prices and are open at 1 pm,open at 1 pm
Extract all the Location entity in the text,what restaurant in downtown has the best reviews,downtown
Extract all the Location entity in the text,what restaurant in my area offers outdoor dining,in my area
Extract all the Location entity in the text,what restaurant in philadelphia has the best cheesesteaks,philadelphia
Extract all the Location entity in the text,what restaurant in sudbury atay open till 11 pm and have a casual attire,sudbury
Extract all the Location entity in the text,what restaurant in the theater district in billerica has the largest portions,"theater district , billerica"
Extract all the Location entity in the text,what restaurant in west bridgewater is open till midnight and has really fast service,west bridgewater
Extract all the Hours entity in the text,what restaurant is cheap and open at night,open at night
Extract all the Location entity in the text,what restaurant is close by has a fire place and sells cajun food,close by
Extract all the Amenity entity in the text,what restaurant is good to take my date to,take my date to
Extract all the Hours entity in the text,what restaurant is open right now,open right now
Extract all the Location entity in the text,what restaurant is open till 2 in newton upper falls,newton upper falls
Extract all the Hours entity in the text,what restaurant is still open,still open
Extract all the Location entity in the text,what restaurant is theater district dining an dis close by,"theater district , close by"
Extract all the Location entity in the text,what restaurant is there with a good brunch in town,in town
Extract all the Location entity in the text,what restaurant near by has the best rating,near by
Extract all the Location entity in the text,what restaurant near here opens at 6 am,near here
Extract all the Location entity in the text,what restaurant near here serves pancakes at 6 am,near here
Extract all the Location entity in the text,what restaurant nearby serves steak,nearby
Extract all the Cuisine entity in the text,what restaurant sells cambodian food and is open till midnight,cambodian
Extract all the Dish entity in the text,what restaurant serves cordon bleu,cordon bleu
Extract all the Cuisine entity in the text,what restaurant serves icelandic cuisine,icelandic
Extract all the Dish entity in the text,what restaurant serves lamb chops with mint jelly,lamb chops with mint jelly
Extract all the Dish entity in the text,what restaurant serves squid,squid
Extract all the Location entity in the text,what restaurant serves tapas on forbes road that has celebrities visiting often,forbes road
Extract all the Location entity in the text,what restaurant serves the best hamburger in town,in town
Extract all the Location entity in the text,what restaurant serves the largest pizza in town,in town
Extract all the Location entity in the text,what restaurants accept checks in a 1 mile radius,1 mile radius
Extract all the Location entity in the text,what restaurants along my current route are very inexpensive,along my current route
Extract all the Location entity in the text,what restaurants are along the way home,along the way home
Extract all the Location entity in the text,what restaurants are available within 15 minutes of my current location that serve mexican food,within 15 minutes
Extract all the Location entity in the text,what restaurants are close,close
Extract all the Location entity in the text,what restaurants are close by,close by
Extract all the Location entity in the text,what restaurants are close by and serve sandwiches,close by
Extract all the Amenity entity in the text,what restaurants are having a special,special
Extract all the Location entity in the text,what restaurants are in the area that have phenomenal service,in the area
Extract all the Restaurant Name entity in the text,what restaurants are in the malls food court,malls food court
Extract all the Location entity in the text,what restaurants are known for being romantic in pittsburgh,pittsburgh
Extract all the Location entity in the text,what restaurants are near here,near here
Extract all the Location entity in the text,what restaurants are near riverside park,near riverside park
Extract all the Location entity in the text,what restaurants are near the theater,near the theater
Extract all the Location entity in the text,what restaurants are near the theater district,"near , theater district"
Extract all the Location entity in the text,what restaurants are near the waterfront,near the waterfront
Extract all the Hours entity in the text,what restaurants are open by 6 am,open by 6 am
Extract all the Location entity in the text,what restaurants are open late hours nearby,nearby
Extract all the Hours entity in the text,what restaurants are open right now,open right now
Extract all the Location entity in the text,what restaurants are within 15 miles of my current location,within 15 miles of my current location
Extract all the Location entity in the text,what restaurants are within one half mile of here,within one half mile of here
Extract all the Location entity in the text,what restaurants around here are open all week,around here
Extract all the Location entity in the text,what restaurants bans smoking in this city,in this city
Extract all the Location entity in the text,what restaurants do carryout after midnight within 5 blocks of broadway and k street,within 5 blocks of broadway and k street
Extract all the Location entity in the text,what restaurants east of here takes reservations and has a patio,east of here
Extract all the Location entity in the text,what restaurants have a casual dress code within 4 blocks of 1600 pennsylvania ave,within 4 blocks of 1600 pennsylvania ave
Extract all the Amenity entity in the text,what restaurants have a nice atmosphere and open before nine am,nice atmosphere
Extract all the Amenity entity in the text,what restaurants have carry out,carry out
Extract all the Amenity entity in the text,what restaurants have entertainment right now,entertainment
Extract all the Location entity in the text,what restaurants in a 10 mile radius are highest rated for kid friendlieness,in a 10 mile radius
Extract all the Location entity in the text,what restaurants in my area are kid friendly and serve big portions,in my area
Extract all the Location entity in the text,what restaurants in this area are open at 5 am,in this area
Extract all the Location entity in the text,what restaurants near me will be open past 10 pm,near
Extract all the Location entity in the text,what restaurants nearby serve brunch,nearby
Extract all the Location entity in the text,what restaurants nearby take reservations,nearby
Extract all the Location entity in the text,what restaurants offer dining outside,offer dining
Extract all the Location entity in the text,what restaurants on our route have egg rolls on the menu,our route
Extract all the Dish entity in the text,what restaurants serve chicken sandwiches after midnight,chicken sandwiches
Extract all the Dish entity in the text,what restaurants serve dumplings,dumplings
Extract all the Dish entity in the text,what restaurants serve garlic mashed potatos,garlic mashed potatos
Extract all the Location entity in the text,what restaurants serve reasonably priced filet mignon within 5 miles,within 5 miles
Extract all the Hours entity in the text,what restaurants with great prices are open before 8 am,open before 8 am
Extract all the Location entity in the text,what restaurants within 2 miles serve chinese and japanese food,within 2 miles
Extract all the Location entity in the text,what restaurants within 50 miles are 5 stars,within 50 miles
Extract all the Amenity entity in the text,what resturant has vegan dishes that also has a fireplace,fireplace
Extract all the Location entity in the text,what resturants in this area have the highest reviews,in this area
Extract all the Restaurant Name entity in the text,what score did buffet dynasty get on the last restaurant review,buffet dynasty
Extract all the Amenity entity in the text,what should i eat today i am hungry,NONE
Extract all the Location entity in the text,what sort of appetizers does lagres have,appetizers does
Extract all the Restaurant Name entity in the text,what specials does antai have tonight,antai
Extract all the Cuisine entity in the text,what steakhouse offers dinner for two less than 50,steakhouse
Extract all the Cuisine entity in the text,what steakhouse serves rioja wines,steakhouse
Extract all the Location entity in the text,what street is fatty fish in glen cove ny located,glen cove ny
Extract all the Cuisine entity in the text,what sushi restaurants are open all week,sushi
Extract all the Location entity in the text,what the best seafood place around town,around town
Extract all the Location entity in the text,what the directions to the nearest red lobster,nearest
Extract all the Restaurant Name entity in the text,what time deos burger king open,burger king
Extract all the Restaurant Name entity in the text,what time do they start serving dinner at indigo,indigo
Extract all the Location entity in the text,what time does alexanders in sf close,sf
Extract all the Restaurant Name entity in the text,what time does applebees close,applebees
Extract all the Location entity in the text,what time does applebees in san leandro open,san leandro
Extract all the Location entity in the text,what time does arbys on seminole ave close,seminole ave
Extract all the Restaurant Name entity in the text,what time does armans open,armans
Extract all the Restaurant Name entity in the text,what time does bakesale betty open on mondays,bakesale betty
Extract all the Restaurant Name entity in the text,what time does bella napoli close,bella napoli
Extract all the Restaurant Name entity in the text,what time does billys open for lunch,billys
Extract all the Location entity in the text,what time does bobs diner on ridge and lyceum open at,ridge and lyceum
Extract all the Restaurant Name entity in the text,what time does boiling crab close,boiling crab
Extract all the Restaurant Name entity in the text,what time does chilis close,chilis
Extract all the Restaurant Name entity in the text,what time does dunkin donuts open,dunkin donuts
Extract all the Restaurant Name entity in the text,what time does espetus close,espetus
Extract all the Location entity in the text,what time does five guys in hayward ca close,hayward ca
Extract all the Location entity in the text,what time does five guys in hayward close,hayward
Extract all the Restaurant Name entity in the text,what time does franks diner close,franks diner
Extract all the Restaurant Name entity in the text,what time does gustavs open on sundays,gustavs
Extract all the Restaurant Name entity in the text,what time does hammersmith inn open for lunch,hammersmith inn
Extract all the Restaurant Name entity in the text,what time does happy dragon open for lunch,happy dragon
Extract all the Location entity in the text,what time does hometown buffet close,does
Extract all the Location entity in the text,what time does hometown buffet in sacramento close,sacramento
Extract all the Restaurant Name entity in the text,what time does ihop open on sunday morning,ihop
Extract all the Restaurant Name entity in the text,what time does ihop open tomorrow for breakfast,ihop
Extract all the Restaurant Name entity in the text,what time does in n out burger open,in n out burger
Extract all the Restaurant Name entity in the text,what time does in n out close,in n out
Extract all the Restaurant Name entity in the text,what time does jack in the box close,jack in the box
Extract all the Restaurant Name entity in the text,what time does johnny ryans burgers and dogs close saturday night,johnny ryans burgers and dogs
Extract all the Location entity in the text,what time does legendary palace in oakland close,oakland
Extract all the Restaurant Name entity in the text,what time does luigis start serving dinner,luigis
Extract all the Location entity in the text,what time does lunch starts at the eatery on maple street,maple street
Extract all the Restaurant Name entity in the text,what time does magrittes serve dinner,magrittes
Extract all the Restaurant Name entity in the text,what time does malones steakhouse open today,malones steakhouse
Extract all the Restaurant Name entity in the text,what time does mcdonalds close,mcdonalds
Extract all the Restaurant Name entity in the text,what time does mcdonalds open,mcdonalds
Extract all the Restaurant Name entity in the text,what time does mortons open for lunch,mortons
Extract all the Location entity in the text,what time does nations near me close,near me
Extract all the Restaurant Name entity in the text,what time does pho king close,pho king
Extract all the Restaurant Name entity in the text,what time does pizza hut close,pizza hut
Extract all the Restaurant Name entity in the text,what time does red lobster close,red lobster
Extract all the Restaurant Name entity in the text,what time does serlins cafe close on saturday,serlins cafe
Extract all the Restaurant Name entity in the text,what time does sidelines grille open on sunday,sidelines grille
Extract all the Amenity entity in the text,what time does sonic stop serving breakfast,breakfast
Extract all the Restaurant Name entity in the text,what time does sparkys burger close,sparkys burger
Extract all the Restaurant Name entity in the text,what time does starbucks open,starbucks
Extract all the Restaurant Name entity in the text,what time does subway open for breakfast,subway
Extract all the Restaurant Name entity in the text,what time does taco bell close,taco bell
Extract all the Restaurant Name entity in the text,what time does taco bell open,taco bell
Extract all the Restaurant Name entity in the text,what time does thai palace close,thai palace
Extract all the Location entity in the text,what time does the closest chinese restaurant open,closest
Extract all the Location entity in the text,what time does the closest ihop open,closest
Extract all the Location entity in the text,what time does the closest italian restaurant close,closest
Extract all the Location entity in the text,what time does the closest japanese restaurant close,closest
Extract all the Location entity in the text,what time does the closest japanese restaurant open,closest
Extract all the Location entity in the text,what time does the closest mcdonalds open,closest
Extract all the Location entity in the text,what time does the closest panda express close,closest
Extract all the Location entity in the text,what time does the closest pizza place close,closest
Extract all the Location entity in the text,what time does the closest place serving chicken and waffles open,closest
Extract all the Restaurant Name entity in the text,what time does the dining area at mcdonalds close,mcdonalds
Extract all the Location entity in the text,what time does the hawaiian bbq restaurant near bayfair bart close,near bayfair bart
Extract all the Location entity in the text,what time does the indian place near me close,near me
Extract all the Restaurant Name entity in the text,what time does the mango thai cuisine close,mango thai cuisine
Extract all the Location entity in the text,what time does the mexican restaurant on east rd open,east rd
Extract all the Location entity in the text,what time does the nearest coffeehouse open,nearest
Extract all the Location entity in the text,what time does the nearest fast food place close,nearest
Extract all the Location entity in the text,what time does the nearest five star restaurant open,nearest
Extract all the Restaurant Name entity in the text,what time does the olive garden opens,olive garden
Extract all the Location entity in the text,what time does the pizza hut in fayetteville nc close,fayetteville nc
Extract all the Location entity in the text,what time does the pizza place near me open,near me
Extract all the Location entity in the text,what time does the red lobster on the north side of town open on tuesdays,north side of town
Extract all the Location entity in the text,what time does thlassa in berkeley close,berkeley
Extract all the Restaurant Name entity in the text,what time does top dog close,top dog
Extract all the Location entity in the text,what time does wendys in san lorenzo ca open,san lorenzo ca
Extract all the Restaurant Name entity in the text,what time does wendys in san lorenzo open,"wendys , san lorenzo"
Extract all the Restaurant Name entity in the text,what time does wendys open,wendys
Extract all the Restaurant Name entity in the text,what time does wendys open until,wendys
Extract all the Location entity in the text,what time does whats up dog in the tenderloin close,in the tenderloin
Extract all the Location entity in the text,what time does zippys in oahu close,oahu
Extract all the Restaurant Name entity in the text,what time is kfc open until,kfc
Extract all the Location entity in the text,what time is p f changs in providence place open until,providence place
Extract all the Location entity in the text,what time is the house of blues in the theater district close,theater district
Extract all the Location entity in the text,what time is the pf changs in the mall open until,in the mall
Extract all the Cuisine entity in the text,what time is the taco place open,taco
Extract all the Location entity in the text,what time will burger king in downtown oakland be closed on sunday,downtown oakland
Extract all the Location entity in the text,what time will in n out in san leandro ca close,san leandro ca
Extract all the Restaurant Name entity in the text,what times does burger king stay open,burger king
Extract all the Restaurant Name entity in the text,what town is la belle vie located in,la belle vie
Extract all the Restaurant Name entity in the text,what type food does phuget serve,phuget
Extract all the Restaurant Name entity in the text,what type of customer reviews does mama cozzis have,mama cozzis
Extract all the Location entity in the text,what type of family restaurants with no bar and no smoking are within 10 minutes,10 minutes
Extract all the Restaurant Name entity in the text,what type of food do they serve at the garden gate,the garden gate
Extract all the Location entity in the text,what type of food does als restaurant in birmingham offer,birmingham
Extract all the Restaurant Name entity in the text,what type of food does famous daves serve,famous daves
Extract all the Restaurant Name entity in the text,what type of food does jens cafe serve,jens cafe
Extract all the Location entity in the text,what type of food has the art gallery on 16 th street started serving at lunch,16 th street
Extract all the Location entity in the text,what type of restaurants are within a five mile radius of my location,within a five mile radius
Extract all the Restaurant Name entity in the text,what type of sides or appetizers does little caesars have,little caesars
Extract all the Restaurant Name entity in the text,what types of payments does applebees accept,applebees
Extract all the Dish entity in the text,what v restaurant has cheap beef,beef
Extract all the Location entity in the text,what was the name of that place it was a high priced belgian place in san diego,san diego
Extract all the Location entity in the text,what wendys has a salad bar in town,in town
Extract all the Amenity entity in the text,what would be a good bar that serves food where i could go after 4 pm with my coworkers,"bar , food"
Extract all the Location entity in the text,what would be a good romantic restaurant in the area,in the area
Extract all the Amenity entity in the text,what would be a great place to take the kids for a quick lunch,"kids , quick"
Extract all the Cuisine entity in the text,what would be the best place to order a pizza,pizza
Extract all the Location entity in the text,whats a cheap hidden find within 10 minutes,within 10 minutes
Extract all the Location entity in the text,whats a cheap mexican restaurant here,here
Extract all the Cuisine entity in the text,whats a cheap vegan eatery,vegan
Extract all the Amenity entity in the text,whats a family friendly place thats expensive,family friendly
Extract all the Location entity in the text,whats a good italian restaurant in the area,in the area
Extract all the Cuisine entity in the text,whats a good jamaican place that has a bar atmosphere,jamaican
Extract all the Location entity in the text,whats a good lunch place nearby,nearby
Extract all the Location entity in the text,whats a good place along the road that has good brunch,along the road
Extract all the Location entity in the text,whats a good place for a big group of people in burlington that serves burmese food,burlington
Extract all the Amenity entity in the text,whats a good place that serves tea and has an extensive and good wine list,"extensive , good wine list"
Extract all the Rating entity in the text,whats a good place to get lunch that a lot of celebrities go to,good
Extract all the Amenity entity in the text,whats a good rice restaurant where i can eat at the bar,"eat at , bar"
Extract all the Cuisine entity in the text,whats a good seafood restaurant with a smoking area,seafood
Extract all the Cuisine entity in the text,whats a good steak house for me and my buddies,steak house
Extract all the Location entity in the text,whats a local favorite that serves asian food,local
Extract all the Location entity in the text,whats a michelin one star rated restaurant in the area,in the area
Extract all the Location entity in the text,whats a nearby south american place that is open after midnight,nearby
Extract all the Rating entity in the text,whats a nice dinner spot,nice
Extract all the Location entity in the text,whats a place on groveland that opens before 10 am and a bit pricey,groveland
Extract all the Location entity in the text,whats a place thats not too cheap and not too expensive along this road,along this road
Extract all the Location entity in the text,whats a place with really good appetizers within a mile that is reasonably priced,within a mile
Extract all the Location entity in the text,whats a place within 3 miles thats romantic and serves teriyaki,within 3 miles
Extract all the Location entity in the text,whats a reasonably priced middle eastern joint within a mile,within a mile
Extract all the Location entity in the text,whats a recommended four star restaurant in the city,in the city
Extract all the Location entity in the text,whats a restaurant nearby with off street parking,nearby
Extract all the Location entity in the text,whats a sushi restaurant near the office,near the office
Extract all the Hours entity in the text,whats an average priced restaurant thats open at 11 am,open at 11 am
Extract all the Location entity in the text,whats an incredibly priced place that serves beef within a 10 minute drive,within a 10 minute drive
Extract all the Restaurant Name entity in the text,whats erawan of siam famous for,erawan of siam
Extract all the Rating entity in the text,whats for dinner,NONE
Extract all the Hours entity in the text,whats for lunch,lunch
Extract all the Location entity in the text,whats good around here to eat,around here
Extract all the Restaurant Name entity in the text,whats new on panda express menu,panda express
Extract all the Restaurant Name entity in the text,whats the address for the little dipper diner,little dipper diner
Extract all the Location entity in the text,whats the address of that roxbury place thats open until 11 pm and serves that clam sauce,roxbury
Extract all the Location entity in the text,whats the address of that steakhouse with breakfast specials on the north side,north side
Extract all the Cuisine entity in the text,whats the average cost of dinner at w a frost,dinner
Extract all the Location entity in the text,whats the best buffet in las vegas,las vegas
Extract all the Location entity in the text,whats the best buffet in reno,in reno
Extract all the Location entity in the text,whats the best buffet in town,in town
Extract all the Location entity in the text,whats the best buffet in vegas,vegas
Extract all the Location entity in the text,whats the best buffet in waikiki according to yelp,waikiki
Extract all the Location entity in the text,whats the best burger place in northeast houston texas,northeast houston texas
Extract all the Location entity in the text,whats the best burger restaurant in the area,in the area
Extract all the Location entity in the text,whats the best cambodian restaurant in the area,in the area
Extract all the Location entity in the text,whats the best chinese place in town,in town
Extract all the Location entity in the text,whats the best deep dish pizza in chicago,chicago
Extract all the Location entity in the text,whats the best expensive sushi within 10 miles,within 10 miles
Extract all the Location entity in the text,whats the best french restaurant in this town,this town
Extract all the Location entity in the text,whats the best hamburger in town,in town
Extract all the Location entity in the text,whats the best japanese sushi restaurant in the area,in the area
Extract all the Location entity in the text,whats the best pizza place that i can reach on my current level of gas,my current level of gas
Extract all the Location entity in the text,whats the best pizza restaurant in san francisco,san francisco
Extract all the Location entity in the text,whats the best place for cake noodles in kailua,kailua
Extract all the Location entity in the text,whats the best place for dinner within 5 miles of here for under 20 a person,within 5 miles
Extract all the Location entity in the text,whats the best place for pancakes within 5 miles of here,within 5 miles of here
Extract all the Rating entity in the text,whats the best place to eat,best
Extract all the Location entity in the text,whats the best place to eat in a downtown hotel,downtown hotel
Extract all the Location entity in the text,whats the best place to eat on pearl street in boulder colorado,"pearl street , boulder colorado"
Extract all the Dish entity in the text,whats the best place to get a sandwich,sandwich
Extract all the Dish entity in the text,whats the best place to get a traditional turkey dinner,traditional turkey
Extract all the Location entity in the text,whats the best quesadillas in oakland,oakland
Extract all the Location entity in the text,whats the best ramen restaurant in brooklyn,brooklyn
Extract all the Location entity in the text,whats the best rated hamburger place in a 3 mile radius,in a 3 mile radius
Extract all the Location entity in the text,whats the best restaurant for a hot 3rd date 20 mile radius,20 mile radius
Extract all the Location entity in the text,whats the best restaurant nearby,nearby
Extract all the Location entity in the text,whats the best sandwich restaurant in the south bay,in the south bay
Extract all the Location entity in the text,whats the best seafood in town,in town
Extract all the Location entity in the text,whats the best steakhouse in the area,in the area
Extract all the Location entity in the text,whats the best sushi place near here,near here
Extract all the Location entity in the text,whats the best sushi restaurant in austin,in austin
Extract all the Location entity in the text,whats the best taco truck in the area,in the area
Extract all the Location entity in the text,whats the cheapest hot dog place in town,in town
Extract all the Location entity in the text,whats the cheapest restaurant down town thats also handicap accessible,down town
Extract all the Amenity entity in the text,whats the cheapest restaurant with a patio and a view of the lake,"patio , view of the lake"
Extract all the Location entity in the text,whats the cheapest seafood restaurant near me,near me
Extract all the Location entity in the text,whats the classiest bar in town,in town
