input,output,se_order,paradigm
"This place is incredibly tiny .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tiny <extra_id_1> place,oa,extraction
"Food was OK .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> food quality,sc,extraction
"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> negative,as,extraction
"The food here is rather good , but only if you like to wait for it .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> service general,sc,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general,sc,extraction
"This place is always packed .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> neutral,as,extraction
"If you go , try the marinara / arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm . . . . . everything is just delicious .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> positive <extra_id_5> food quality ; <extra_id_6> positive <extra_id_7> food quality,sc,extraction
"I did n ' t complain , I liked the atmosphere so much .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> liked <extra_id_1> atmosphere,oa,extraction
"If you venture off the island of Manhattan and ca n ' t seem to find a great Italian restaurant , drive to Corona .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> negative,as,extraction
"Delivery guy sometimes get upset if you do n ' t tip more than 10 % .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> upset <extra_id_1> Delivery guy,oa,extraction
"The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Grilled Chicken special with Edamame Puree <extra_id_1> positive,as,extraction
"Do not get the Go Go Hamburgers , no matter what the reviews say .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Go Go Hamburgers <extra_id_1> negative,as,extraction
"I ' ll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> decor <extra_id_1> positive ; <extra_id_2> pita <extra_id_3> positive ; <extra_id_4> hummus <extra_id_5> positive ; <extra_id_6> grilled octopus <extra_id_7> positive,as,extraction
"Great place to relax and enjoy your dinner| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Great <extra_id_1> place,oa,extraction
"A guaranteeed delight !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Fresh ingredients and everything is made to order .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Great neighborhood joint .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> joint <extra_id_1> positive,as,extraction
"Great Indian food and the service is incredible .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Indian food <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive,as,extraction
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> porcini mushroom pasta special <extra_id_1> negative ; <extra_id_2> seafood tagliatelle <extra_id_3> negative,as,extraction
"Be prepared to wait , because the place is pretty tiny .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tiny <extra_id_1> place ; <extra_id_2> tiny <extra_id_3> place,oa,extraction
"We were ushered to the bar to wait momentarily and upon arrival were so excited .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> dessert <extra_id_1> negative ; <extra_id_2> dessert <extra_id_3> negative ; <extra_id_4> dessert <extra_id_5> negative,as,extraction
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> large selection <extra_id_1> bruschettas ; <extra_id_2> large selection <extra_id_3> paninis ; <extra_id_4> large selection <extra_id_5> tramezzinis,oa,extraction
"It ' s a little out of our price range for dining there except on special occasions , but we ' ve eaten there 6 times in the last 2 years .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> out of our price range <extra_id_1> NULL,oa,extraction
"Food was very good , but not what I would consider out of this world .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> food quality,sc,extraction
"All of the pizzas are terrific and the price is even better !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> terrific <extra_id_1> pizzas ; <extra_id_2> even better <extra_id_3> NULL,oa,extraction
"I would highly recommend .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> ok <extra_id_1> Appetizers ; <extra_id_2> poor <extra_id_3> waiter ; <extra_id_4> try <extra_id_5> potato stuff kanish ; <extra_id_6> best <extra_id_7> potato stuff kanish,oa,extraction
"The food is okay and the prices here are mediocre .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> food quality ; <extra_id_2> neutral <extra_id_3> restaurant prices,sc,extraction
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"How do you rate home ?| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant miscellaneous,sc,extraction
"This guy refused to seat her and she left , followed shortly by the four of us , but not before I told him that in my 40 years of world travel , including Paris , that I had never seen such a display of bad behavior by a frontman in a restaurant .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> frontman <extra_id_1> negative,as,extraction
"Try the sea bass .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"I definitely wouldn ' t go back .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> wouldn ' t go back <extra_id_1> NULL,oa,extraction
"Go to Volare for 1st class service and terrific food .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"Was surprisingly disappointed .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"The service was friendly and the atmosphere was casual .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> friendly <extra_id_1> service ; <extra_id_2> casual <extra_id_3> atmosphere,oa,extraction
"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food quality,sc,extraction
"Decent wine at reasonable prices .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> wine <extra_id_1> positive ; <extra_id_2> wine <extra_id_3> positive,as,extraction
"Not impressed with the food .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"Cute place , nice wait staff but would never go there again .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> wait staff <extra_id_1> positive ; <extra_id_2> place <extra_id_3> positive ; <extra_id_4> place <extra_id_5> negative,as,extraction
"Ravioli was good . . . but I have to say that I found everything a bit overpriced .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food prices,sc,extraction
"Slightly on the pricey side but worth it !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> pricey <extra_id_1> NULL ; <extra_id_2> worth <extra_id_3> NULL,oa,extraction
"She just nodded and walked off .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> walked off <extra_id_1> NULL,oa,extraction
"I ca n ' t wait to go back .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> go back <extra_id_1> NULL,oa,extraction
"The food was very good , a great deal , and the place its self was great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive ; <extra_id_4> place <extra_id_5> positive,as,extraction
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> atmosphere <extra_id_1> positive,as,extraction
"The Steak Tartare is a great bet , they fix it for you at the table .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food style_options,sc,extraction
"Best drumsticks over rice and sour spicy soup in town !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Best <extra_id_1> drumsticks over rice ; <extra_id_2> Best <extra_id_3> sour spicy soup,oa,extraction
"Pizza was a little soggy .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> soggy <extra_id_1> Pizza,oa,extraction
"I ' ve had my fair share of modern Japanese and this spot delivers .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"first it took us a long time to find the place .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> negative,as,extraction
"On that scale , it ' s a world - beater .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"It is terrific , as is the value .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> terrific <extra_id_1> NULL ; <extra_id_2> terrific <extra_id_3> NULL,oa,extraction
"if you ' re daring , try the balsamic vinegar over icecream , it ' s wonderful !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> positive ; <extra_id_2> seating <extra_id_3> positive ; <extra_id_4> Delivery <extra_id_5> positive ; <extra_id_6> sushi <extra_id_7> positive,as,extraction
"Always good drinks and service is pretty good ;| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> drinks <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive,as,extraction
"The level of rudeness was preposterous .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Bukhara Grill , the tagline says it all . . `` INDIAN SPICE RAVE ``| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> RAVE <extra_id_1> Bukhara Grill,oa,extraction
"this is can became on e of the NY Italian Food fare institutions .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fare institutions <extra_id_1> NULL,oa,extraction
"However , our main course was wonderful .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> wonderful <extra_id_1> main course,oa,extraction
"sometimes i get good food and ok service .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> food ; <extra_id_2> ok <extra_id_3> service,oa,extraction
"Open late ( well as late as I ever got there and I ' m a night person )| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> well <extra_id_1> NULL,oa,extraction
"The food is excellent !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"They smell like they stuff them with old canned vegetables like the spinach mushroom calzone .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> old canned vegetables <extra_id_1> NULL,oa,extraction
"The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> brioche and lollies <extra_id_1> positive ; <extra_id_2> brioche and lollies <extra_id_3> positive,as,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> late night atmosphere,oa,extraction
"The bread was stale , the salad was overpriced and empty .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food prices ; <extra_id_4> negative <extra_id_5> food style_options,sc,extraction
"Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"At first glance this place seems a bit pricey for a hot dog joint , but at Bark you do n ' t just get your average hot dog .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant prices,sc,extraction
"All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> favorite <extra_id_1> NULL,oa,extraction
"If you want something really different than try Jekyll and Hyde .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"limited menu , no - so - fresh ingredients , thinly - sliced fish , fall - apart rice .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> limited <extra_id_1> menu ; <extra_id_2> no - so - fresh <extra_id_3> ingredients ; <extra_id_4> thinly - sliced <extra_id_5> fish ; <extra_id_6> fall - apart <extra_id_7> rice,oa,extraction
"Best Taiwanese food in NY !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"I do not recommend .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Took my mom for Mother ' s Day , and the maitre was pretty rude .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> rude <extra_id_1> maitre,oa,extraction
"This is a wonderful place on all stand points especially value ofr money .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> positive ; <extra_id_2> place <extra_id_3> positive,as,extraction
"the waitstaffs are nice though .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> nice <extra_id_1> waitstaffs,oa,extraction
"Wine list is extensive without being over - priced .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> extensive without being over - priced <extra_id_1> Wine list ; <extra_id_2> extensive without being over - priced <extra_id_3> Wine list,oa,extraction
"The worst excuse for Japanese food I ' ve ever encountered .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> worst <extra_id_1> NULL,oa,extraction
"Delicious crab cakes too .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Delicious <extra_id_1> crab cakes,oa,extraction
"When family came in he gave them apps to test their palets , and then ordered for them .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> ordered for them <extra_id_1> NULL,oa,extraction
"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"The mussels were fantastic and so was the dessert . . . definitely going to be back very soon .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fantastic <extra_id_1> mussels ; <extra_id_2> fantastic <extra_id_3> dessert ; <extra_id_4> going to be back <extra_id_5> NULL,oa,extraction
"Drinks way over priced .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Drinks <extra_id_1> negative,as,extraction
"Rather than preparing vegetarian dish , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food style_options,sc,extraction
"We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> asked for Hooka six times <extra_id_1> waiter,oa,extraction
"I would highly recommend .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The hostess was rude and I got a distinct feeling that they did not want to serve us .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> rude <extra_id_1> hostess ; <extra_id_2> distinct <extra_id_3> NULL,oa,extraction
"My husband and I have been sold on this from the first visit .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"I showed it to the manager , and he smilingly apologized and brought us two free desserts ( but did not ask us what we wanted and so brought the last two desserts we would have asked for ) .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general,sc,extraction
"great food| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"Consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> burgers <extra_id_1> negative,as,extraction
"The price very reasonable .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> reasonable <extra_id_1> NULL,oa,extraction
"I ' ve been many time and have never been disappointed .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> never been disappointed <extra_id_1> NULL,oa,extraction
"The farro salad and the mashed yukon potatoes were also extremely tasty .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tasty <extra_id_1> farro salad ; <extra_id_2> tasty <extra_id_3> mashed yukon potatoes,oa,extraction
"My Girlfriend and I stumbled onto this hopping place the other night and had a great time !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> hopping <extra_id_1> place ; <extra_id_2> great time <extra_id_3> place,oa,extraction
"Big Wong is a great place to eat and fill your stomach .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Big Wong <extra_id_1> positive,as,extraction
"But that was n ' t the icing on the cake : a tiramisu that resembled nothing I have ever had .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> nothing <extra_id_1> tiramisu,oa,extraction
"I loved everythig about it - especially the shows and actors .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"Not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> meals <extra_id_1> negative ; <extra_id_2> rosemary or orange flavoring <extra_id_3> negative,as,extraction
"All the staff is absolutely professional ! !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> professional <extra_id_1> staff,oa,extraction
"There ' s nice and quiet , small but enough for 6 ( or more ) .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"It ' s a rather cramped and busy restaurant and it closes early .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> closes early <extra_id_1> restaurant ; <extra_id_2> cramped <extra_id_3> restaurant ; <extra_id_4> busy <extra_id_5> restaurant,oa,extraction
"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> enhanced <extra_id_1> server ; <extra_id_2> delicious <extra_id_3> appetizer,oa,extraction
"The Four Seasons has history and it is a sort of landmark of New York City restaurants , but trust me , they will charge you through the nose just so that you can say `` I ' ve been to the four seasons restaurant `` .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> restaurant miscellaneous ; <extra_id_2> negative <extra_id_3> restaurant prices,sc,extraction
"Prices too high for this cramped and unappealing resturant .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant prices ; <extra_id_2> negative <extra_id_3> ambience general ; <extra_id_4> negative <extra_id_5> ambience general,sc,extraction
"A great place to meet up for some food and drinks . . .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> positive,as,extraction
"My girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that I was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> service general,sc,extraction
"You ca n ' t go wrong with this place .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> positive,as,extraction
"The portions are large and the servers always surprise us with a different starter .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food style_options,sc,extraction
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> drinks style_options ; <extra_id_4> positive <extra_id_5> food style_options ; <extra_id_6> positive <extra_id_7> food style_options,sc,extraction
"Go here for a romantic dinner but not for an all out wow dining experience .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"I ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> intimate <extra_id_1> setting ; <extra_id_2> nice <extra_id_3> service ; <extra_id_4> recommend <extra_id_5> NULL,oa,extraction
"It is thick and slightly soggy .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> negative,as,extraction
"The service is good and ambience is good for a date or group outing .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> service ; <extra_id_2> good <extra_id_3> ambience,oa,extraction
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> congee <extra_id_1> positive ; <extra_id_2> Ow Ley Soh <extra_id_3> positive ; <extra_id_4> Ow Ley Soh <extra_id_5> positive,as,extraction
"Going to Bark is always worth the train ride , and will make your tongue and belly very happy !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Bark <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as,extraction
"But the service is HORRID !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> HORRID <extra_id_1> service,oa,extraction
"The service is awful .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"A real dissapointment .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"The food tasted very good .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Love Pizza 33 . . .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> signs <extra_id_1> positive ; <extra_id_2> specials menus <extra_id_3> positive ; <extra_id_4> food <extra_id_5> positive ; <extra_id_6> waitstaff <extra_id_7> positive,as,extraction
"I would recommend Roxy ' s for that , but not for their food .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> recommend <extra_id_1> food ; <extra_id_2> not for their food <extra_id_3> NULL,oa,extraction
"The only fallback on this restaurant is the prices .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fallback <extra_id_1> restaurant,oa,extraction
"Overall , excellent restaurant !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Only complaint is the pricing - - I believe it would be more reasonable to pay a dollar less on each item listed on the menu .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food prices,sc,extraction
"The view is spectacular , and the food is great .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> location general ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"LLOOVVE THIS PLACE .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> LLOOVVE <extra_id_1> PLACE,oa,extraction
"The fried dumplings are GREAT !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> fried dumplings <extra_id_1> positive,as,extraction
"The service was excellent and the food was delicious .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general,sc,extraction
"Open late ( well as late as I ever got there and I ' m a night person )| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant miscellaneous,sc,extraction
"Salads are a delicious way to begin the meal .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Salads <extra_id_1> positive,as,extraction
"The spicy Tuna roll is huge and probably the best that I ' ve had at this price range .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> huge <extra_id_1> spicy Tuna roll ; <extra_id_2> best <extra_id_3> spicy Tuna roll ; <extra_id_4> best <extra_id_5> spicy Tuna roll,oa,extraction
"I ' ve been to at Cafe Spice probably 5 - 8 times , it is probably still the best Indian restaurant around Union Square .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> Cafe Spice,oa,extraction
"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food general,sc,extraction
"Waitstaff are very friendly .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Waitstaff <extra_id_1> positive,as,extraction
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> delicious <extra_id_1> food ; <extra_id_2> delicious <extra_id_3> halibut special ; <extra_id_4> delicious <extra_id_5> steak ; <extra_id_6> top - notch <extra_id_7> service,oa,extraction
